Person ID,First Name,Last Name,Num Publications,MeSH Term,PMID
1,Chunhua,Weng,195,Humans,38838949
1,Chunhua,Weng,195,Social Determinants of Health,38838949
1,Chunhua,Weng,195,Male,38838949
1,Chunhua,Weng,195,Middle Aged,38838949
1,Chunhua,Weng,195,Female,38838949
1,Chunhua,Weng,195,Biomedical Research,38838949
1,Chunhua,Weng,195,Patient Selection,38838949
1,Chunhua,Weng,195,Aged,38838949
1,Chunhua,Weng,195,Health Equity,38838949
1,Chunhua,Weng,195,Adult,38838949
1,Chunhua,Weng,195,Humans,38777085
1,Chunhua,Weng,195,Unified Medical Language System,38777085
1,Chunhua,Weng,195,Semantics,38777085
1,Chunhua,Weng,195,Electronic Health Records,38777085
1,Chunhua,Weng,195,Precision Medicine,38777085
1,Chunhua,Weng,195,"Translational Research, Biomedical",38777085
1,Chunhua,Weng,195,Medical Informatics,38777085
1,Chunhua,Weng,195,Natural Language Processing,38777085
1,Chunhua,Weng,195,Alzheimer Disease,38777085
1,Chunhua,Weng,195,Clinical Trials as Topic,38697494
1,Chunhua,Weng,195,Humans,38697494
1,Chunhua,Weng,195,Natural Language Processing,38697494
1,Chunhua,Weng,195,Software,38697494
1,Chunhua,Weng,195,Patient Selection,38697494
1,Chunhua,Weng,195,Evidence-Based Medicine,38608915
1,Chunhua,Weng,195,Humans,38608915
1,Chunhua,Weng,195,Artificial Intelligence,38608915
1,Chunhua,Weng,195,Trust,38608915
1,Chunhua,Weng,195,Natural Language Processing,38608915
1,Chunhua,Weng,195,Humans,38471120
1,Chunhua,Weng,195,Alzheimer Disease,38471120
1,Chunhua,Weng,195,COVID-19,38471120
1,Chunhua,Weng,195,Natural Language Processing,38471120
1,Chunhua,Weng,195,Humans,38447587
1,Chunhua,Weng,195,Natural Language Processing,38447587
1,Chunhua,Weng,195,Alzheimer Disease,38447587
1,Chunhua,Weng,195,Feasibility Studies,38447587
1,Chunhua,Weng,195,Medical Informatics,38447587
1,Chunhua,Weng,195,Eligibility Determination,38447587
1,Chunhua,Weng,195,Humans,38442909
1,Chunhua,Weng,195,Artificial Intelligence,38442909
1,Chunhua,Weng,195,Algorithms,38442909
1,Chunhua,Weng,195,Health Facilities,38442909
1,Chunhua,Weng,195,Health Personnel,38442909
1,Chunhua,Weng,195,Language,38442909
1,Chunhua,Weng,195,Humans,38414240
1,Chunhua,Weng,195,Genetic Risk Score,38414240
1,Chunhua,Weng,195,Electronic Health Records,38414240
1,Chunhua,Weng,195,Focus Groups,38414240
1,Chunhua,Weng,195,Humans,38061257
1,Chunhua,Weng,195,Female,38061257
1,Chunhua,Weng,195,Unsupervised Machine Learning,38061257
1,Chunhua,Weng,195,Retrospective Studies,38061257
1,Chunhua,Weng,195,Mammaplasty,38061257
1,Chunhua,Weng,195,Postoperative Complications,38061257
1,Chunhua,Weng,195,Free Tissue Flaps,38061257
1,Chunhua,Weng,195,Breast Neoplasms,38061257
1,Chunhua,Weng,195,Humans,38015484
1,Chunhua,Weng,195,Delayed Diagnosis,38015484
1,Chunhua,Weng,195,"Lymphoma, T-Cell, Cutaneous",38015484
1,Chunhua,Weng,195,"Lymphoma, Non-Hodgkin",38015484
1,Chunhua,Weng,195,Environmental Exposure,38015484
1,Chunhua,Weng,195,Skin Neoplasms,38015484
1,Chunhua,Weng,195,Humans,37936310
1,Chunhua,Weng,195,Dermatology,37936310
1,Chunhua,Weng,195,Biological Specimen Banks,37936310
1,Chunhua,Weng,195,Skin Diseases,37936310
1,Chunhua,Weng,195,Humans,37716649
