first_name,last_name,num_publications,mesh_term,pmid
Chunhua,Weng,344,Humans,37203669
Chunhua,Weng,344,Health Facilities,37203669
Chunhua,Weng,344,Organizations,37203669
Chunhua,Weng,344,Humans,37203669
Chunhua,Weng,344,Health Facilities,37203669
Chunhua,Weng,344,Organizations,37203669
Chunhua,Weng,344,Software,37203581
Chunhua,Weng,344,Artificial Intelligence,37203581
Chunhua,Weng,344,Software,37203581
Chunhua,Weng,344,Artificial Intelligence,37203581
Chunhua,Weng,344,Artificial Intelligence,33828278
Chunhua,Weng,344,Humans,33828278
Chunhua,Weng,344,Medical Oncology,33828278
Chunhua,Weng,344,Neoplasms,33828278
Chunhua,Weng,344,Patient Selection,33828278
Chunhua,Weng,344,Artificial Intelligence,33828278
Chunhua,Weng,344,Humans,33828278
Chunhua,Weng,344,Medical Oncology,33828278
Chunhua,Weng,344,Neoplasms,33828278
Chunhua,Weng,344,Patient Selection,33828278
Chunhua,Weng,344,Humans,31438128
Chunhua,Weng,344,Language,31438128
Chunhua,Weng,344,Natural Language Processing,31438128
Chunhua,Weng,344,Systematized Nomenclature of Medicine,31438128
Chunhua,Weng,344,Humans,31438128
Chunhua,Weng,344,Language,31438128
Chunhua,Weng,344,Natural Language Processing,31438128
Chunhua,Weng,344,Systematized Nomenclature of Medicine,31438128
Chunhua,Weng,344,Cluster Analysis,31437950
Chunhua,Weng,344,Data Accuracy,31437950
Chunhua,Weng,344,"Databases, Factual",31437950
Chunhua,Weng,344,Delivery of Health Care,31437950
Chunhua,Weng,344,Electronic Health Records,31437950
Chunhua,Weng,344,Cluster Analysis,31437950
Chunhua,Weng,344,Data Accuracy,31437950
Chunhua,Weng,344,"Databases, Factual",31437950
Chunhua,Weng,344,Delivery of Health Care,31437950
Chunhua,Weng,344,Electronic Health Records,31437950
Chunhua,Weng,344,Evidence-Based Medicine,31437911
Chunhua,Weng,344,"Neural Networks, Computer",31437911
Chunhua,Weng,344,PubMed,31437911
Chunhua,Weng,344,Randomized Controlled Trials as Topic,31437911
Chunhua,Weng,344,Evidence-Based Medicine,31437911
Chunhua,Weng,344,"Neural Networks, Computer",31437911
Chunhua,Weng,344,PubMed,31437911
Chunhua,Weng,344,Randomized Controlled Trials as Topic,31437911
Chunhua,Weng,344,Evidence-Based Medicine,31434596
Chunhua,Weng,344,Family Practice,31434596
Chunhua,Weng,344,Humans,31434596
Chunhua,Weng,344,Medical Informatics,31434596
Chunhua,Weng,344,Peer Review,31434596
Chunhua,Weng,344,Periodicals as Topic,31434596
Chunhua,Weng,344,Evidence-Based Medicine,31434596
Chunhua,Weng,344,Family Practice,31434596
Chunhua,Weng,344,Humans,31434596
Chunhua,Weng,344,Medical Informatics,31434596
Chunhua,Weng,344,Peer Review,31434596
Chunhua,Weng,344,Periodicals as Topic,31434596
Chunhua,Weng,344,Cognition,30815071
Chunhua,Weng,344,Decision Making,30815071
Chunhua,Weng,344,"Decision Support Systems, Clinical",30815071
Chunhua,Weng,344,Electronic Health Records,30815071
Chunhua,Weng,344,Humans,30815071
Chunhua,Weng,344,Reproducibility of Results,30815071
Chunhua,Weng,344,Terminology as Topic,30815071
Chunhua,Weng,344,User-Computer Interface,30815071
Chunhua,Weng,344,Cognition,30815071
Chunhua,Weng,344,Decision Making,30815071
Chunhua,Weng,344,"Decision Support Systems, Clinical",30815071
Chunhua,Weng,344,Electronic Health Records,30815071
Chunhua,Weng,344,Humans,30815071
Chunhua,Weng,344,Reproducibility of Results,30815071
