mesh_term,tfidf_score,name
3' untranslated regions,0.003219068032675336,Chunhua Weng
abstracting and indexing,0.003219068032675336,Chunhua Weng
academic medical centers,0.00804767008168834,Chunhua Weng
access to information,0.003219068032675336,Chunhua Weng
adolescent,0.01448580614703901,Chunhua Weng
adult,0.0450669524574547,Chunhua Weng
age groups,0.04667648647379237,Chunhua Weng
aged,0.020923942212389683,Chunhua Weng
"aged, 80 and over",0.006438136065350672,Chunhua Weng
algorithms,0.13198178933968877,Chunhua Weng
"amino acids, peptides, and proteins",0.012876272130701343,Chunhua Weng
analysis of variance,0.004828602049013003,Chunhua Weng
angiogenesis,0.004828602049013003,Chunhua Weng
animal population groups,0.004828602049013003,Chunhua Weng
"animals, inbred strains",0.003219068032675336,Chunhua Weng
"animals, laboratory",0.003219068032675336,Chunhua Weng
anthropometry,0.006438136065350672,Chunhua Weng
antiemetics,0.003219068032675336,Chunhua Weng
antineoplastic agents,0.004828602049013003,Chunhua Weng
antisense elements (genetics),0.004828602049013003,Chunhua Weng
appointments and schedules,0.004828602049013003,Chunhua Weng
artificial intelligence,0.10622924507828607,Chunhua Weng
attitude to health,0.009657204098026007,Chunhua Weng
authorship,0.003219068032675336,Chunhua Weng
autonomic agents,0.003219068032675336,Chunhua Weng
base sequence,0.003219068032675336,Chunhua Weng
betacoronavirus,0.009657204098026007,Chunhua Weng
bias,0.004828602049013003,Chunhua Weng
bibliographies as topic,0.006438136065350672,Chunhua Weng
bibliometrics,0.004828602049013003,Chunhua Weng
biochemical phenomena,0.00804767008168834,Chunhua Weng
biochemistry,0.00804767008168834,Chunhua Weng
biological factors,0.006438136065350672,Chunhua Weng
biological ontologies,0.009657204098026007,Chunhua Weng
biological phenomena,0.012876272130701343,Chunhua Weng
biological science disciplines,0.027362078277740353,Chunhua Weng
biology,0.025752544261402686,Chunhua Weng
biomarkers,0.003219068032675336,Chunhua Weng
biometry,0.006438136065350672,Chunhua Weng
blood glucose,0.003219068032675336,Chunhua Weng
blood proteins,0.004828602049013003,Chunhua Weng
body constitution,0.01448580614703901,Chunhua Weng
body size,0.006438136065350672,Chunhua Weng
body weights and measures,0.006438136065350672,Chunhua Weng
carbohydrates,0.009657204098026007,Chunhua Weng
cardiovascular physiological phenomena,0.004828602049013003,Chunhua Weng
carrier proteins,0.004828602049013003,Chunhua Weng
case-control studies,0.019314408196052013,Chunhua Weng
causality,0.009657204098026007,Chunhua Weng
cell growth processes,0.003219068032675336,Chunhua Weng
cell line,0.00804767008168834,Chunhua Weng
"cell line, transformed",0.003219068032675336,Chunhua Weng
"cell line, tumor",0.004828602049013003,Chunhua Weng
cell movement,0.003219068032675336,Chunhua Weng
cell physiological phenomena,0.00804767008168834,Chunhua Weng
cell proliferation,0.003219068032675336,Chunhua Weng
