mesh_term,tfidf_score,name
3' untranslated regions,0.003218767859260423,Chunhua Weng
abstracting and indexing,0.003218767859260423,Chunhua Weng
academic medical centers,0.008046919648151058,Chunhua Weng
access to information,0.003218767859260423,Chunhua Weng
adolescent,0.014484455366671905,Chunhua Weng
adult,0.04506275002964593,Chunhua Weng
age groups,0.04667213395927614,Chunhua Weng
aged,0.020921991085192753,Chunhua Weng
"aged, 80 and over",0.006437535718520846,Chunhua Weng
algorithms,0.13196948222967736,Chunhua Weng
"amino acids, peptides, and proteins",0.012875071437041693,Chunhua Weng
analysis of variance,0.004828151788890635,Chunhua Weng
angiogenesis,0.004828151788890635,Chunhua Weng
animal population groups,0.004828151788890635,Chunhua Weng
"animals, inbred strains",0.003218767859260423,Chunhua Weng
"animals, laboratory",0.003218767859260423,Chunhua Weng
anthropometry,0.006437535718520846,Chunhua Weng
antiemetics,0.003218767859260423,Chunhua Weng
antineoplastic agents,0.004828151788890635,Chunhua Weng
antisense elements (genetics),0.004828151788890635,Chunhua Weng
appointments and schedules,0.004828151788890635,Chunhua Weng
artificial intelligence,0.10621933935559397,Chunhua Weng
attitude to health,0.00965630357778127,Chunhua Weng
authorship,0.003218767859260423,Chunhua Weng
autonomic agents,0.003218767859260423,Chunhua Weng
base sequence,0.003218767859260423,Chunhua Weng
betacoronavirus,0.00965630357778127,Chunhua Weng
bias,0.004828151788890635,Chunhua Weng
bibliographies as topic,0.006437535718520846,Chunhua Weng
bibliometrics,0.004828151788890635,Chunhua Weng
biochemical phenomena,0.008046919648151058,Chunhua Weng
biochemistry,0.008046919648151058,Chunhua Weng
biological factors,0.006437535718520846,Chunhua Weng
biological ontologies,0.00965630357778127,Chunhua Weng
biological phenomena,0.012875071437041693,Chunhua Weng
biological science disciplines,0.027359526803713598,Chunhua Weng
biology,0.025750142874083386,Chunhua Weng
biomarkers,0.003218767859260423,Chunhua Weng
biometry,0.006437535718520846,Chunhua Weng
blood glucose,0.003218767859260423,Chunhua Weng
blood proteins,0.004828151788890635,Chunhua Weng
body constitution,0.014484455366671905,Chunhua Weng
body size,0.006437535718520846,Chunhua Weng
body weight,0.006437535718520846,Chunhua Weng
body weights and measures,0.006437535718520846,Chunhua Weng
carbohydrates,0.00965630357778127,Chunhua Weng
cardiovascular physiological phenomena,0.004828151788890635,Chunhua Weng
carrier proteins,0.004828151788890635,Chunhua Weng
case-control studies,0.01931260715556254,Chunhua Weng
causality,0.00965630357778127,Chunhua Weng
cell growth processes,0.003218767859260423,Chunhua Weng
cell line,0.008046919648151058,Chunhua Weng
"cell line, transformed",0.003218767859260423,Chunhua Weng
"cell line, tumor",0.004828151788890635,Chunhua Weng
cell movement,0.003218767859260423,Chunhua Weng
cell physiological phenomena,0.008046919648151058,Chunhua Weng
